OBJECTID;namenr;art_dtsch;art_bot;gattung_deutsch;gattung;pflanzjahr;standalter;kronedurch;stammumfg;baumhoehe;bezirk
1;Weigandufer;Eingriffliger Weissdorn;Crataegus monogyna;WEIßDORN;CRATAEGUS;1989;34;;60;20;Neukölln
2;Weigandufer;Hahnensporn-Weissdorn;Crataegus crus-galli;WEIßDORN;CRATAEGUS;1994;29;0;37;0;Neukölln
3;Weigandufer;Pflaumenblättriger Weiss-Dorn;Crataegus prunifolia;WEIßDORN;CRATAEGUS;1987;36;0;65;0;Neukölln
4;Roetepfuhl-Grünanlage;Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;;1985;38;0;0;0;Neukölln
5;"Roetepfuhl;Grünanlage";Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;AESCULUS;1985;38;0;112;0;Neukölln
6;Roetepfuhl-Grünanlage;Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;;1985;38;0;112;0;Neukölln
7;"Roetepfuhl;Grünanlage";Gemeine Rosskastanie;Aesculus hippocastanumtest;ROSSKASTANIE;;1978;45;0;0;0;Neuköllntest
8;Roetepfuhl""Grünanlage"";Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;;1980;43;0;117;0;Neukölln
9;Roetepfuhl-Grünanlage;Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;;1995;28;0;66;0;Neukölln
384418;"Guineastr. / Kongostr.";Platane;Platanus spec.;PLATANE;PLATANUS;;;;;;Mitte
384419;"Guineastr. / Kongostr.
";Platane;Platanus spec.;PLATANE;PLATANUS;;;;;;Mitte
385189;"Guineastr. / Kongostr.
";Winter-Linde;Tilia cordata;LINDE;TILIA;;;;;13;Mitte
384426;"Guineastr. / Kongostr.
";Holunder;Sambucus spec.;HOLLUNDER;SAMBUCUS;;;;;;Mitte
10;Roetepfuhl-Grünanlage;Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;AESCULUS;1985;38;0;98;0;Neukölln
11;Roetepfuhl-Grünanlage;Gemeine Rosskastanie;Aesculus hippocastanum;ROSSKASTANIE;AESCULUS;1985;38;0;98;0;Neukölln
